aa	ɑː
viittausjärjestelmä	ʋiːt̪ːɑu̯s̠jærje̞s̠t̪e̞lmæ
viittaussuhde	ʋiːt̪ːɑu̯s̠s̠uxde̞ʔ
viitteellisesti	ʋiːt̪ːe̞ːlːis̠e̞s̠t̪iʔ
viittoilla	ʋiːt̪ːo̞i̯lːɑʔ
viittoilulippu	ʋiːt̪ːo̞i̯lulipːu
viiva	ʋiːʋɑ
viivahaku	ʋiːʋɑhɑku
viivain	ʋiːʋɑin
viivakaava	ʋiːʋɑkɑːʋɑ
viivakaavio	ʋiːʋɑkɑːʋio̞
viivakuva	ʋiːʋɑkuʋɑ
viivaperspektiivi	ʋiːʋɑpe̞rs̠pe̞kt̪iːʋi
viivapiirros	ʋiːʋɑpiːrːo̞s̠
viivaspektri	ʋiːʋɑs̠pe̞kt̪ri
viivasuora	ʋiːʋɑs̠uo̞̯rɑ
viivasyövytys	ʋiːʋɑs̠yø̞̯ʋyt̪ys̠
viivata	ʋiːʋɑt̪ɑʔ
viive	ʋiːʋe̞ʔ
viivelinja	ʋiːʋe̞llinjɑ
viivi	ʋiːʋi
viivähtää	ʋiːʋæht̪æːʔ
viivästellä	ʋiːʋæs̠t̪e̞lːæʔ
viivästyskorko	ʋiːʋæstyskorko
viivästyttää	ʋiːʋæs̠t̪yt̪ːæːʔ
viivästää	ʋiːʋæs̠t̪æːʔ
vika	ʋikɑ
vikaantua	ʋikɑːnt̪uɑʔ
vikahälytys	ʋikɑhælyt̪ys̠
vikailmoitus	ʋikɑilmo̞i̯t̪us̠
vikakierre	ʋikɑkie̞̯rːe̞ʔ
vikapaikka	ʋikɑpɑi̯kːɑ
vikapisto	ʋikɑpis̠t̪o̞
vikapää	ʋikɑpæː
vikasieto	ʋikɑs̠ie̞̯t̪o̞
vikasietoisuus	ʋikɑs̠ie̞̯t̪o̞i̯s̠uːs̠
vikasoitto	ʋikɑs̠o̞i̯t̪ːo̞
vikatikki	ʋikɑt̪ikːi
vikatilanne	ʋikɑt̪ilɑnːe̞ʔ
vikatilasto	ʋikɑt̪ilɑs̠t̪o̞
vikautua	ʋikɑu̯t̪uɑʔ
vikkelään	ʋikːe̞læːn
viktoriaanisesti	ʋikt̪o̞riɑːnis̠e̞s̠t̪iʔ
vikuri	ʋikuri
vilhelmiina	ʋilhe̞lmiːnɑ
vilistellä	ʋilis̠t̪e̞lːæʔ
vilistäjä	ʋilis̠t̪æjæ
vilistää	ʋilis̠t̪æːʔ
vilja	ʋiljɑ
viljalti	ʋiljɑlt̪i
viljamakasiini	ʋiljɑmɑkɑs̠iːni
viljankorjuu	ʋiljɑnko̞rjuː
viljankuivatus	ʋiljɑnkui̯ʋɑt̪us̠
viljankuivuri	ʋiljɑnkui̯ʋuri
viljankylvökone	ʋiljɑnkylʋø̞ko̞ne̞ʔ
viljapelto	ʋiljɑpe̞lt̪o̞
viljatila	ʋiljɑt̪ilɑ
viljava	ʋiljɑʋɑ
viljavarasto	ʋiljɑʋɑrɑs̠t̪o̞
viljaviina	ʋiljɑʋiːnɑ
viljavuosi	ʋiljɑʋuo̞̯s̠i
viljavuus	ʋiljɑʋuːs̠
viljelyala	ʋilje̞lyɑlɑ
viljelyalue	ʋilje̞lyɑlue̞ʔ
viljelykate	ʋilje̞lykɑt̪e̞ʔ
viljelykausi	ʋilje̞lykɑu̯s̠i
viljelymenetelmä	ʋilje̞lyme̞ne̞t̪e̞lmæ
viljelyröykkiö	ʋilje̞lyrø̞y̯kːiø̞
viljelysala	ʋilje̞lys̠ɑlɑ
viljelysalue	ʋilje̞lys̠ɑlue̞ʔ
viljelyskasvi	ʋilje̞lys̠kɑs̠ʋi
viljelysmaisema	ʋilje̞lys̠mɑi̯s̠e̞mɑ
viljelystie	ʋilje̞lys̠t̪ie̞̯
viljelytapa	ʋilje̞lyt̪ɑpɑ
vilkahtaa	ʋilkɑxt̪ɑːʔ
vilkastuttaa	ʋilkɑs̠t̪ut̪ːɑːʔ
vilkka	ʋilkːɑ
vilkkaa	ʋilkːɑː
villa	ʋilːɑ
villahousut	ʋilːɑho̞u̯s̠ut̪
villarasva	ʋilːɑrɑs̠ʋɑ
villasaksirapu	ʋilːɑs̠ɑks̠irɑpu
villava	ʋilːɑʋɑ
ville	ʋilːe̞
villi	ʋilːi
villiinnyttää	ʋilːiːnnyt̪ːæːʔ
villisianliha	ʋilːis̠iɑnliɦɑ
villoittaa	ʋilːo̞i̯t̪ːɑːʔ
vilma	ʋilmɑ
vilna	ʋilnɑ
vilpistellä	ʋilpis̠t̪e̞lːæʔ
vilpoinen	ʋilpo̞i̯ne̞n
vilpoisasti	ʋilpo̞i̯s̠ɑs̠t̪iʔ
vilpoisesti	ʋilpo̞i̯s̠e̞s̠t̪iʔ
vilppaus	ʋilpːɑu̯s̠
vilustaa	ʋilus̠t̪ɑːʔ
vilustuttaa	ʋilus̠t̪ut̪ːɑːʔ
viluttaa	ʋilut̪ːɑːʔ
vilvoittaa	ʋilʋo̞i̯t̪ːɑːʔ
vilvoittautua	ʋilʋo̞i̯t̪t̪ɑu̯t̪uɑʔ
vimmaisesti	ʋimːɑi̯s̠e̞s̠t̪iʔ
vimmastua	ʋimːɑs̠t̪uɑʔ
vimmastuksissa	ʋimːɑs̠t̪uks̠is̠ːɑ
vimmastuksissaan	ʋimːɑs̠t̪uks̠is̠ːɑːn
vimmastuttaa	ʋimːɑs̠t̪ut̪ːɑːʔ
vimmattu	ʋimːɑt̪ːu
vimmatusti	ʋimːɑt̪us̠t̪iʔ
vimpeli	ʋimpe̞li
vimpeliläinen	ʋimpe̞lilæi̯ne̞n
vimpeläinen	ʋimpe̞læi̯ne̞n
vinaigrette	ʋine̞ɡre̞t̪ːe̞
vinaigrette	ʋinɑi̯ɡre̞t̪ːe̞
vinhasti	ʋinhɑs̠t̪iʔ
vinkeä	ʋiŋke̞æ
vinkeästi	ʋiŋke̞æs̠t̪iʔ
vinkki	ʋiŋkːi
vinksahtaa	ʋiŋks̠ɑxt̪ɑːʔ
vinoilla	ʋino̞i̯lːɑʔ
vinoittain	ʋino̞i̯t̪ːɑi̯n
vinokunta	ʋino̞kun̪t̪ɑ
vinoköysisilta	ʋino̞kø̞y̯s̠is̠ilt̪ɑ
vinoneliö	ʋino̞ne̞liø̞
vinoraitainen	ʋino̞rɑi̯t̪ɑi̯ne̞n
vinoristi	ʋino̞ris̠t̪i
vinorukki	ʋino̞rukːi
vinoruutuinen	ʋino̞ruːt̪ui̯ne̞n
vinosymmetrinen	ʋino̞s̠ymːe̞t̪rine̞n
vinottainen	ʋino̞t̪t̪ɑi̯ne̞n
vinoviiva	ʋino̞ʋiːʋɑ
vinssata	ʋins̠ːɑt̪ɑʔ
vintata	ʋin̪t̪ɑt̪ɑʔ
vintilä	ʋin̪t̪ilæ
vintti	ʋintːi
vinyylisoitin	ʋinyːlis̠o̞i̯t̪in
vioittaa	ʋio̞i̯t̪ːɑːʔ
viola	ʋio̞lɑ
violetti	ʋio̞le̞t̪ːi
vipa	ʋipɑ
vippelä	ʋipːe̞læ
vippi	ʋipːi
vipukelkka	ʋipuke̞lkːɑ
vipurahasto	ʋipurɑɦɑs̠t̪o̞
vipuvaaka	ʋipuʋɑːkɑ
vipuvoima	ʋipuʋo̞i̯mɑ
virallistaa	ʋirɑllis̠t̪ɑːʔ
virastotalo	ʋirɑs̠t̪o̞t̪ɑlo̞
vireille	ʋire̞i̯lːe̞ʔ
vireillepano	ʋire̞i̯lːe̞ppɑno̞
vireilletulo	ʋire̞i̯lːe̞t̪t̪ulo̞
viremia	ʋire̞miɑ
vireyttää	ʋire̞y̯t̪ːæːʔ
vireytyä	ʋire̞y̯t̪yæʔ
vireästi	ʋire̞æs̠t̪iʔ
virginia	ʋirɡiːniɑ
virhe	ʋirhe̞ʔ
virheenkorjaus	ʋirhe̞ːnko̞rjɑu̯s̠
virheenkorjauskoodi	ʋirhe̞ːnko̞rjɑu̯s̠ko̞ːdi
virheenkorjausohjelma	ʋirhe̞ːnko̞rjɑu̯s̠o̞xje̞lmɑ
virhekoodi	ʋirhe̞kko̞ːdi
virheloki	ʋirhe̞llo̞ki
virhepainama	ʋirhe̞ppɑi̯nɑmɑ
virhetermi	ʋirhe̞t̪t̪e̞rmi
virheviesti	ʋirhe̞ʋʋie̞̯s̠t̪i
virikerikas	ʋirike̞rrikɑs̠
virikeympäristö	ʋirike̞ʔympæris̠t̪ø̞
viritelmä	ʋirit̪e̞lmæ
virittäjävektori	ʋirit̪t̪æjæʋe̞kt̪o̞ri
virittäytyä	ʋirit̪t̪æy̯t̪yæʔ
virittää	ʋirit̪ːæːʔ
viritysjärjestelmä	ʋirit̪ys̠jærje̞s̠t̪e̞lmæ
virityspuu	ʋirit̪ys̠puː
virka	ʋirkɑ
virka	ʋirkɑ
virka	ʋirkɑʔ
virkaanastujaiset	ʋirkɑːnɑs̠t̪ujɑi̯s̠e̞t̪
virkaintoisesti	ʋirkɑin̪t̪o̞i̯s̠e̞s̠t̪iʔ
virkaintoisuus	ʋirkɑin̪t̪o̞i̯s̠uːs̠
virkamies	ʋirkɑmies
virkanimike	ʋirkɑnimike̞ʔ
virkarikos	ʋirkɑriko̞s̠
virkasuhde	ʋirkɑs̠uxde̞ʔ
virkatalo	ʋirkɑt̪ɑlo̞
virkatyö	ʋirkɑt̪yø̞̯
virkavaltaisesti	ʋirkɑʋɑlt̪ɑi̯s̠e̞s̠t̪iʔ
virkavuosi	ʋirkɑʋuo̞̯s̠i
virke	ʋirke̞ˣ
virkeästi	ʋirke̞æs̠t̪iʔ
virkistysaine	ʋirkis̠t̪ys̠ɑi̯ne̞ʔ
virkistysalue	ʋirkis̠t̪ys̠ɑlue̞ʔ
virkistyskäyttö	ʋirkis̠t̪ys̠kæy̯t̪ːø̞
virkistystaajuus	ʋirkis̠t̪ys̠t̪ɑːjuːs̠
virkkaa	ʋirkːɑːʔ
virkkaa	ʋirkːɑː
virkkaa	ʋirkːɑːʔ
virkkaus	ʋirkːɑu̯s̠
virkkaustyö	ʋirkːɑu̯s̠t̪yø̞̯
virkkuukoukku	ʋirkːuːko̞u̯kːu
virkkuutyö	ʋirkːuːt̪yø̞̯
virmajuuri	ʋirmɑjuːri
virnasara	ʋirnɑs̠ɑrɑ
virnistellä	ʋirnis̠t̪e̞lːæʔ
virnuilla	virːnu̞ilːaˣ
viro	ʋiro̞
viro	ʋiro̞
virolahtelainen	ʋiro̞lɑxt̪e̞lɑi̯ne̞n
virolahti	ʋiro̞lɑxt̪i
virolainen	ʋiro̞lɑi̯ne̞n
virolainen	ʋiro̞lɑi̯ne̞n
virolaisittain	ʋiro̞lɑi̯s̠it̪ːɑi̯n
virolaismies	ʋiro̞lɑi̯s̠mie̞̯s̠
virolaisnainen	ʋiro̞lɑi̯s̠nɑi̯ne̞n
vironvyö	ʋiro̞nʋyø̞̯
virota	ʋirotɑˣ
virpi	ʋirpi
virpovitsa	ʋirpo̞ʋits̠ɑ
virransäädin	ʋirːɑns̠æːdin
virrantiheys	ʋirːɑnt̪iɦe̞y̯s̠
virrat	ʋirːɑt̪
virsikantele	ʋirs̠ikɑn̪t̪e̞le̞ʔ
virsiseurat	ʋirs̠is̠e̞u̯rɑt̪
virta	ʋirt̪ɑ
virtajohto	ʋirt̪ɑjo̞xt̪o̞
virtakaapeli	ʋirt̪ɑkɑːpe̞li
virtakisko	ʋirt̪ɑkis̠ko̞
virtakytkin	ʋirt̪ɑkyt̪kin
virtalähde	ʋirt̪ɑlæhde̞ʔ
virtamuuntaja	ʋirt̪ɑmuːn̪t̪ɑjɑ
virtanaan	ʋirt̪ɑnɑːn
virtanen	ʋirt̪ɑne̞n
virtaregulaattori	ʋirt̪ɑre̞ɡulɑːt̪ːo̞ri
virtaventtiili	ʋirt̪ɑʋe̞n̪t̪ːiːli
virtsajohdin	ʋirts̠ɑjo̞xdin
virtsatietulehdus	ʋirts̠ɑt̪ie̞̯t̪ule̞hdus̠
virtuaalikirjasto	ʋirt̪uɑːlikirjɑs̠t̪o̞
virtuaalikone	ʋirt̪uɑːliko̞ne̞ʔ
virtuaalikonemonitori	ʋirt̪uɑːliko̞ne̞mo̞nit̪o̞ri
virtuaalikonsoli	ʋirt̪uɑːliko̞ns̠o̞li
virtuaalistaa	ʋirt̪uɑːlis̠t̪ɑːʔ
virtuaalityöpöytä	ʋirt̪uɑːlit̪yø̞̯pø̞y̯t̪æ
virus	ʋirus̠
virus	ʋiːrus̠
virusripuli	ʋirus̠ripuli
virusripuli	ʋiːrus̠ripuli
viruttaa	ʋirut̪ːɑːʔ
virva	ʋirʋɑ
virve	ʋirʋe
virveli	ʋirʋe̞li
virvelirumpu	ʋirʋe̞lirumpu
virvoittaa	ʋirʋo̞i̯t̪ːɑːʔ
virvoittua	ʋirʋo̞i̯t̪t̪uɑʔ
visailla	ʋis̠ɑi̯lːɑʔ
visautua	ʋis̠ɑu̯t̪uɑʔ
viserrellä	ʋis̠e̞rre̞lːæʔ
viserrys	ʋis̠e̞rːys̠
visiiri	ʋis̠iːri
visiittikortti	ʋis̠iːt̪ːiko̞rt̪ːi
viskaali	ʋis̠kɑːli
viskari	ʋis̠kɑri
viskata	ʋis̠kɑt̪ɑʔ
viskautua	ʋis̠kɑu̯t̪uɑʔ
viskellä	ʋis̠ke̞lːæʔ
viskoutua	ʋis̠ko̞u̯t̪uɑʔ
viskuri	ʋis̠kuri
vislata	ʋis̠lɑt̪ɑʔ
vissi	ʋis̠ːi
vissisti	ʋis̠ːis̠t̪iʔ
visti	ʋis̠t̪i
vita	ʋit̪ɑ
vitaalielin	ʋit̪ɑːlie̞lin
vitaalisesti	ʋit̪ɑːlis̠e̞s̠t̪iʔ
vitalismi	ʋit̪ɑlis̠mi
vitamiinipilleri	ʋit̪ɑmiːnipilːe̞ri
vitamiinirikas	ʋit̪ɑmiːnirikɑs̠
vitaminoida	ʋit̪ɑmino̞i̯dɑʔ
vitikeli	ʋit̪ike̞li
vitiligo	ʋit̪iliɡo̞
vitja	ʋit̪jɑ
vitkalaukaisin	ʋitkɑlɑukɑisin
vitkastella	ʋit̪kɑs̠t̪e̞lːɑʔ
vitkuttaa	ʋit̪kut̪ːɑːʔ
vitmi	ʋit̪mi
vitriini	ʋit̪riːni
vitsa	ʋits̠ɑ
vitsas	ʋits̠ɑs̠
vitsi	ʋits̠i
vitsikkäästi	ʋits̠ikkæːs̠t̪iʔ
vittu	ʋit̪ːu
vittuilla	ʋit̪ːui̯lːɑʔ
vittumaisesti	ʋit̪ːumɑi̯s̠e̞s̠t̪iʔ
vitun	ʋit̪un
vituraan	ʋit̪urɑːn
viturallaan	ʋit̪urɑlːɑːn
vituralleen	ʋit̪urɑlːe̞ːn
viturassa	ʋit̪urɑs̠ːɑ
viuhkaholvi	ʋiu̯xkɑho̞lʋi
viuhkamaisesti	ʋiu̯xkɑmɑi̯s̠e̞s̠t̪iʔ
viuhkasalama	ʋiu̯xkɑs̠ɑlɑmɑ
viuhko	ʋiuxko̞
viuhua	ʋiu̯ɦuɑʔ
viulu	ʋiu̯lu
viulukoulu	ʋiu̯luko̞u̯lu
viuluoppilas	ʋiu̯luo̞pːilɑs̠
vivahderikas	ʋiʋɑxde̞rrikɑs̠
vivahtaa	ʋiʋɑxt̪ɑːʔ
vivahteettomasti	ʋiʋɑht̪e̞ːt̪ːo̞mɑs̠t̪iʔ
vivahteikkaasti	ʋiʋɑht̪e̞i̯kːɑːs̠t̪iʔ
vivianiitti	ʋiʋiɑniːt̪ːi
voda	ʋo̞dɑ
vohvelikeksi	ʋo̞xʋe̞like̞ks̠i
voi	ʋo̞i̯
voi	ʋo̞i̯
voi	ʋo̞i̯
voi	ʋo̞i̯ʔ
voiastia	ʋo̞i̯ɑs̠t̪iɑ
voida	ʋo̞i̯dɑʔ
voide	ʋo̞ide̞ˣ
voidella	ʋo̞i̯de̞lːɑʔ
voikastike	ʋo̞i̯kɑs̠t̪ike̞ʔ
voikeksi	ʋo̞i̯ke̞ks̠i
voikeltano	ʋo̞i̯ke̞lt̪ɑno̞
voikko	ʋo̞i̯kːo̞
voikukka	ʋo̞i̯kukːɑ
voima	ʋo̞i̯mɑ
voimafantasia	ʋo̞i̯mɑfɑn̪t̪ɑs̠iɑ
voimakanava	ʋo̞i̯mɑkɑnɑʋɑ
voimakeino	ʋo̞i̯mɑke̞i̯no̞
voimakone	ʋo̞i̯mɑko̞ne̞ʔ
voimannäytös	ʋo̞i̯mɑnnæy̯t̪ø̞s̠
voimanulosotto	ʋo̞i̯mɑnulo̞s̠o̞t̪ːo̞
voimapahvi	ʋo̞i̯mɑpɑxʋi
voimapaperi	ʋo̞i̯mɑpɑpe̞ri
voimaperäisesti	ʋo̞i̯mɑpe̞ræi̯s̠e̞s̠t̪iʔ
voimatalous	ʋo̞i̯mɑt̪ɑlo̞u̯s̠
voimattomasti	ʋo̞i̯mɑt̪ːo̞mɑs̠t̪iʔ
voimavirta	ʋo̞i̯mɑʋirt̪ɑ
voimayksikkö	ʋo̞i̯mɑyks̠ikːø̞
voimistelunopettaja	ʋo̞i̯mis̠t̪e̞luno̞pe̞t̪t̪ɑjɑ
voimistelupallo	ʋo̞i̯mis̠t̪e̞lupɑlːo̞
voimistelupuku	ʋo̞i̯mis̠t̪e̞lupuku
voimistuttaa	ʋo̞i̯mis̠t̪ut̪ːɑːʔ
voimuotti	ʋo̞i̯muo̞̯t̪ːi
voinappi	ʋo̞i̯nɑpːi
voipua	ʋo̞i̯puɑʔ
voisi	ʋo̞isi
voisilmäpulla	ʋo̞i̯s̠ilmæpulːɑ
voisimme	ʋo̞i̯s̠imːe̞
voisitte	ʋo̞i̯s̠it̪ːe̞
voisivat	ʋo̞i̯s̠iʋɑt̪
voitelulaite	ʋo̞i̯t̪e̞lulɑi̯t̪e̞ʔ
voitelurasva	ʋo̞i̯t̪e̞lurɑs̠ʋɑ
voiteluöljy	ʋo̞i̯t̪e̞luø̞ljy
voitonhimo	ʋo̞i̯t̪o̞nhimo̞
voittaa	ʋo̞i̯t̪ːɑːʔ
voittaja	ʋoitːɑjɑ
voittopuolisesti	ʋo̞i̯t̪ːo̞puo̞̯lis̠e̞s̠t̪iʔ
voittovarat	ʋo̞i̯t̪ːo̞ʋɑrɑt̪
voivottaa	ʋo̞i̯ʋo̞t̪ːɑːʔ
voivuksiin	ʋo̞i̯ʋuks̠iːn
voivuksissa	ʋo̞i̯ʋuks̠is̠ːɑ
voivuttaa	ʋo̞i̯ʋut̪ːɑːʔ
vokaali	ʋokɑːli
vokaalialkuinen	ʋo̞kɑːliɑlkui̯ne̞n
vokaaliloppuinen	ʋo̞kɑːlilo̞pːui̯ne̞n
vokaalimusiikki	ʋo̞kɑːlimus̠iːkːi
vokalistiryhmä	ʋo̞kɑlis̠t̪iryçmæ
vokseli	ʋo̞ks̠e̞li
volaarinen	ʋo̞lɑːrine̞n
volapük	ʋo̞lɑpyk
volatiliteetti	ʋo̞lɑt̪ilit̪e̞ːt̪ːi
volframi	ʋolfrɑmi
volgalainen	ʋo̞lɡɑlɑi̯ne̞n
volgansieni	ʋo̞lɡɑns̠ie̞̯ni
volgansuomalainen	ʋo̞lɡɑns̠uo̞̯mɑlɑi̯ne̞n
voltata	ʋo̞lt̪ɑt̪ɑʔ
voltti	ʋo̞lt̪ːi
voluutta	ʋo̞luːt̪ːɑ
voluutti	ʋo̞luːt̪ːi
vompatti	ʋo̞mpɑt̪ːi
vonkamies	ʋo̞ŋkɑmie̞̯s̠
voro	ʋo̞ro̞
võro	ʋɤro̞
vorokki	ʋo̞ro̞kːi
võru	ʋɤru
votiivi	ʋo̞t̪iːʋi
votiivilahja	ʋo̞t̪iːʋilɑxjɑ
vouhkata	ʋo̞u̯xkɑt̪ɑʔ
vulgaari	ʋulɡɑːri
vulgaaristaa	ʋulɡɑːris̠t̪ɑːʔ
vulva	ʋulʋɑ
vuode	ʋuo̞̯de̞ʔ
vuodenaika	ʋuo̞̯de̞nɑi̯kɑ
vuodentulo	ʋuo̞̯de̞nt̪ulo̞
vuodeosasto	ʋuo̞̯de̞ʔo̞s̠ɑs̠t̪o̞
vuodepaikka	ʋuo̞̯de̞ppɑi̯kːɑ
vuodepeite	ʋuo̞̯de̞ppe̞i̯t̪e̞ʔ
vuohenherne	ʋuo̞̯ɦe̞nhe̞rne̞ʔ
vuohenjuuri	ʋuo̞̯ɦe̞njuːri
vuohi	ʋuo̞̯ɦi
vuokko	ʋuokːo
vuokra	ʋuo̞̯krɑ
vuokranantaja	ʋuokrɑnɑntɑjɑ
vuokrankorotus	ʋuo̞̯krɑnko̞ro̞t̪us̠
vuokraraha	ʋuo̞̯krɑrɑɦɑ
vuokratulot	ʋuo̞̯krɑt̪ulo̞t̪
vuokratyö	ʋuo̞̯krɑt̪yø̞̯
vuolaasti	ʋuo̞̯lɑːs̠t̪iʔ
vuolassanaisesti	ʋuo̞̯lɑs̠s̠ɑnɑi̯s̠e̞s̠t̪iʔ
vuoleskella	ʋuo̞̯le̞s̠ke̞lːɑʔ
vuoliainen	ʋuo̞̯liɑi̯ne̞n
vuolin	ʋuo̞̯lin
vuolla	ʋuɔlːɑ
vuolla	ʋuɔlːɑˣ
vuolurauta	ʋuo̞̯lurɑu̯t̪ɑ
vuoma	ʋuo̞̯mɑ
vuonna	ʋuo̞̯nːɑ
vuonohjaus	ʋuo̞̯no̞xjɑu̯s̠
vuoraus	ʋuo̞̯rɑu̯s̠
vuoreija	ʋuo̞̯re̞i̯jːɑ
vuorela	ʋuo̞̯re̞lɑ
vuorenharja	ʋuo̞̯re̞nhɑrjɑ
vuorenjuuri	ʋuo̞̯re̞njuːri
vuori	ʋuo̞̯ri
vuorimänty	ʋuo̞̯rimæn̪t̪y
vuoriryhmä	ʋuo̞̯riryçmæ
vuorisara	ʋuo̞̯ris̠ɑrɑ
vuoristoalue	ʋuo̞̯ris̠t̪o̞ɑlue̞ʔ
vuoristoilma	ʋuo̞̯ris̠t̪o̞ilmɑ
vuoristolainen	ʋuo̞̯ris̠t̪o̞lɑi̯ne̞n
vuoristopolku	ʋuo̞̯ris̠t̪o̞po̞lku
vuoristotie	ʋuo̞̯ris̠t̪o̞t̪ie̞̯
vuoro	ʋuo̞̯ro̞
vuoroittain	ʋuo̞̯ro̞i̯t̪ːɑi̯n
vuorokausi	ʋuo̞̯ro̞kɑu̯s̠i
vuorontaa	ʋuo̞̯ro̞n̪t̪ɑːʔ
vuoronvaihto	ʋuo̞̯ro̞nʋɑi̯çt̪o̞
vuorosuuntainen	ʋuo̞̯ro̞s̠uːn̪t̪ɑi̯ne̞n
vuorottaa	ʋuo̞̯ro̞t̪ːɑːʔ
vuorottelu	ʋuo̞̯ro̞t̪t̪e̞lu
vuorovaikutteisesti	ʋuo̞̯ro̞ʋɑi̯kut̪t̪e̞i̯s̠e̞s̠t̪iʔ
vuorovesiaalto	ʋuo̞̯ro̞ʋe̞s̠iɑːlt̪o̞
vuorovesienergia	ʋuo̞̯ro̞ʋe̞s̠ie̞ne̞rɡiɑ
vuorovesivoima	ʋuo̞̯ro̞ʋe̞s̠iʋo̞i̯mɑ
vuorovuosi	ʋuo̞̯ro̞ʋuo̞̯s̠i
vuorovärinen	ʋuo̞̯ro̞ʋærine̞n
vuosi	ʋuo̞̯s̠i
vuosiansio	ʋuo̞̯s̠iɑns̠io̞
vuosihoroskooppi	ʋuo̞̯s̠iho̞ro̞s̠ko̞ːpːi
vuosihuolto	ʋuo̞̯s̠ihuo̞̯lt̪o̞
vuosijuhla	ʋuo̞̯s̠ijuxlɑ
vuosijulkaisu	ʋuo̞̯s̠ijulkɑi̯s̠u
vuosikalenteri	ʋuo̞̯s̠ikɑle̞nt̪e̞ri
vuosikasvain	ʋuo̞̯s̠ikɑs̠ʋɑi̯n
vuosikasvu	ʋuo̞̯s̠ikɑs̠ʋu
vuosikatsaus	ʋuo̞̯s̠ikɑts̠ɑu̯s̠
vuosikello	ʋuo̞̯s̠ike̞lːo̞
vuosikertaviini	ʋuo̞̯s̠ike̞rt̪ɑʋiːni
vuosikeskiarvo	ʋuo̞̯s̠ike̞s̠kiɑrʋo̞
vuosikorjaus	ʋuo̞̯s̠iko̞rjɑu̯s̠
vuosikortti	ʋuo̞̯s̠iko̞rt̪ːi
vuosikulu	ʋuo̞̯s̠ikulu
vuosikulutus	ʋuo̞̯s̠ikulut̪us̠
vuosikurssi	ʋuo̞̯s̠ikurs̠ːi
vuosikustannus	ʋuo̞̯s̠ikus̠t̪ɑnːus̠
vuosiluku	ʋuo̞̯s̠iluku
vuosiluokittain	ʋuo̞̯s̠iluo̞̯kit̪ːɑi̯n
vuosimaksu	ʋuo̞̯s̠imɑks̠u
vuosimiljardi	ʋuo̞̯s̠imiljɑrdi
vuosimiljoona	ʋuo̞̯s̠imiljo̞ːnɑ
vuosimyynti	ʋuo̞̯s̠imyːn̪t̪i
vuosiosuus	ʋuo̞̯s̠io̞s̠uːs̠
vuosipalkka	ʋuo̞̯s̠ipɑlkːɑ
vuosipalkkio	ʋuo̞̯s̠ipɑlkːio̞
vuosiraportti	ʋuo̞̯s̠irɑpo̞rt̪ːi
vuosisata	ʋuo̞̯s̠is̠ɑt̪ɑ
vuosisopimus	ʋuo̞̯s̠is̠o̞pimus̠
vuosisuunnitelma	ʋuo̞̯s̠is̠uːnːit̪e̞lmɑ
vuositarkastus	ʋuo̞̯s̠it̪ɑrkɑs̠t̪us̠
vuositase	ʋuo̞̯s̠it̪ɑs̠e̞ʔ
vuositilaaja	ʋuo̞̯s̠it̪ilɑːjɑ
vuositilasto	ʋuo̞̯s̠it̪ilɑs̠t̪o̞
vuositilaus	ʋuo̞̯s̠it̪ilɑu̯s̠
vuosituhat	ʋuo̞̯s̠it̪uɦɑt̪
vuositulo	ʋuo̞̯s̠it̪ulo̞
vuosituonti	ʋuo̞̯s̠it̪uo̞̯n̪t̪i
vuosituotanto	ʋuo̞̯s̠it̪uo̞̯t̪ɑn̪t̪o̞
vuosituotto	ʋuo̞̯s̠it̪uo̞̯t̪ːo̞
vuosivaihtelu	ʋuo̞̯s̠iʋɑi̯çt̪e̞lu
vuosivaihto	ʋuo̞̯s̠iʋɑi̯çt̪o̞
vuosivauhti	ʋuo̞̯s̠iʋɑu̯xt̪i
vuosivienti	ʋuo̞̯s̠iʋie̞̯n̪t̪i
vuosivoitto	ʋuo̞̯s̠iʋo̞i̯t̪ːo̞
vuosivuokra	ʋuo̞̯s̠iʋuo̞̯krɑ
vuotakenkä	ʋuo̞̯t̪ɑke̞ŋkæ
vuotkin	ʋuo̞̯t̪kin
vuottoraippa	ʋuo̞̯t̪ːo̞rɑi̯pːɑ
vuotuisjuhla	ʋuo̞̯t̪ui̯s̠juxlɑ
vuotuismuutto	ʋuo̞̯t̪ui̯s̠muːt̪ːo̞
vyyhdinpuu	ʋyːçdinpuː
vyyhti	ʋyːçt̪i
vyöhyke	ʋyø̞̯ɦyke̞ʔ
vyöhyt	ʋyø̞̯ɦyt̪
vyökaari	ʋyø̞̯kɑːri
vyökoukku	ʋyø̞̯ko̞u̯kːu
vyöliina	ʋyø̞̯liːnɑ
vyöllinen	ʋyø̞̯lːine̞n
vyöryttää	ʋyø̞̯ryt̪ːæːʔ
vyörähtää	ʋyø̞̯ræht̪æːʔ
vyötiäinen	ʋyø̞̯t̪iæi̯ne̞n
vyöttäytyä	ʋyø̞̯t̪ːæy̯t̪yæʔ
vyötärö	ʋyø̞̯t̪ærø̞
vyötäröhame	ʋyø̞̯t̪ærø̞hɑme̞ʔ
väenkokous	ʋæe̞nko̞ko̞u̯s̠
väenpaljous	ʋæe̞npɑljo̞u̯s̠
väentungos	ʋæe̞nt̪uŋːo̞s̠
väentupa	ʋæe̞nt̪upɑ
